,Trek,Cost,Time,Trip Grade,Max Altitude,Accomodation,Best Travel Time,Contact or Book your Trip
184,Helambu Trek,"
$780   USD", 9 Days,Easy,3650 m,Hotel/Guesthouse,Jan - May & Sept- Dec,https://www.nepalhikingteam.com
185,Annapurna Base Camp Trek  ," $1,499   USD", 11 Days,Moderate+Demanding,"4,130m",,,https://www.himalayanglacier.com
186,Everest Base Camp Trek for Youths  ," $1,750   USD", 14 Days,Demanding,"5,545m",,,https://www.himalayanglacier.com
187,Everest Base Camp Short Trek  ," $1,499   USD", 14 Days,Demanding,"5,545m",,,https://www.himalayanglacier.com
188,Everest Base Camp Trek  ," $1,499   USD", 16 Days,Moderate+Demanding,"5,545m",,,https://www.himalayanglacier.com
189,Annapurna Circuit Trek  ," $1,499   USD", 17 Days,Demanding,"5,416m",,,https://www.himalayanglacier.com
190,Everest Base Camp Luxury Lodge Trek  ," $1,499   USD", 15 Days,Demanding,"5,545m",,,https://www.himalayanglacier.com
191,Everest Base Camp Trek via Gokyo Lakes and Cho La Pass  ," $1,499   USD", 18 days,Demanding,"5,545m",,,https://www.himalayanglacier.com
192,Upper Mustang Trek  ," $1,499   USD", 17 Days,Moderate+Demanding,"3,870m",,,https://www.himalayanglacier.com
193,Everest Advanced Base Camp Trek from Tibet  ," $1,499   USD", 18 Days,Moderate+Demanding,"6,340m",,,https://www.himalayanglacier.com
194,Gokyo Lakes and Gokyo Ri Trek  ," $1,499   USD", 14 Days,Moderate+Demanding,"5,357m",,,https://www.himalayanglacier.com
195,Mardi Himal Trek  ," $1,499   USD", 10 Days,Moderate,"3,540m",,,https://www.himalayanglacier.com
196,Manaslu Circuit Trek  ," $1,499   USD", 18 Days,Demanding,"5,160m",,,https://www.himalayanglacier.com
197,Langtang Valley Trek  ," $1,499   USD", 11 Days,Moderate+Demanding,"5,000m",,,https://www.himalayanglacier.com
198,Annapurna Sanctuary Trek  ," $1,499   USD", 14 Days,Moderate+Demanding,"4,130m",,,https://www.himalayanglacier.com
199,Rara Lake Trek  ," $1,499   USD", 15 Days,Moderate,"3,055m",,,https://www.himalayanglacier.com
200,Everest High Passes Trek  ," $1,499   USD", 20 Days,Demanding,"5,546m",,,https://www.himalayanglacier.com
201,Kanchenjunga Circuit Trek  ," $1,499   USD", 25 Days,Demanding,"5,143m",,,https://www.himalayanglacier.com
202,Everest View Trek  ," $1,499   USD", 12 Days,Light+Moderate,"3,870m",,,https://www.himalayanglacier.com
203,Tsum Valley Trek  ," $1,499   USD", 19 Days,Demanding,"6,000m",,,https://www.himalayanglacier.com
204,The Royal Trek  ," $1,499   USD", 9 Days,Moderate,"1,730m",,,https://www.himalayanglacier.com
205,Makalu Base Camp Trek  ," $1,499   USD", 22 Days,Demanding+Challenging,"4,870m",,,https://www.himalayanglacier.com
206,"Langtang, Gosainkunda and Helambu Trek  "," $1,499   USD", 17 Days,Moderate,"5,000m",,,https://www.himalayanglacier.com
207,Nar Phu Valley Trek  ," $1,499   USD", 19 Days,Demanding,"5,416m",,,https://www.himalayanglacier.com
208,Annapurna Circle Trek  ," $1,499   USD", 14 Days,Demanding,"5,416m",,,https://www.himalayanglacier.com
209,Everest Kangshung Face Trek  ," $1,499   USD", 21 Days,Demanding+Challenging,"5,320m",,,https://www.himalayanglacier.com
210,Tsum Valley and Manaslu Trek  ," $1,499   USD", 27 Days,Demanding,"4,460m",,,https://www.himalayanglacier.com
211,Khopra Ridge Community Trek  ," $1,499   USD", 13 Days,Moderate+Demanding,"4,500m",,,https://www.himalayanglacier.com
212,Nepal Experience Tour  ," $1,499   USD", 12 Days,Light,"3,210m",,,https://www.himalayanglacier.com
213,Annapurna Circuit Trek with Tilicho Lake and Poon Hill  ," $1,499   USD", 20 Days,Demanding,"5,416m",,,https://www.himalayanglacier.com
214,Annapurna With Tilicho Lake Trek  ," $1,499   USD", 17 Days,Demanding,"5,416m",,,https://www.himalayanglacier.com
215,Langtang Valley Trek with Ganja la Pass  ," $1,499   USD", 14 Days,Demanding+Challenging,"5,122m",,,https://www.himalayanglacier.com
216,Tamang Heritage Trek  ," $1,499   USD", 14 Days,Moderate,"3,870m",,,https://www.himalayanglacier.com
217,Manaslu and Annapurna Trek with Tilicho Lake  ," $1,499   USD", 25 Days,Demanding,"5,416m",,,https://www.himalayanglacier.com
218,Nepal Trekking and Everest Himalaya Heli Tour  ," $1,499   USD", 7 Days,Moderate,"5,545m",,,https://www.himalayanglacier.com
219,Nepal Hiking and Culture Tour  ," $1,499   USD", 8 Days,Moderate,"1,550m",,,https://www.himalayanglacier.com
220,Annapurna Sunrise and Everest View Trek  ," $1,499   USD", 17 Days,Moderate,"3,870m",,,https://www.himalayanglacier.com
221,Tenzing Hillary Everest Marathon  ," $1,499   USD", 20 Days,Demanding+Challenging,"5,545m",,,https://www.himalayanglacier.com
222,Everest Base Camp Trek,$1450   USD,16 Days,Moderate-Hard,"5,545m",,,https://www.adventurehimalayacircuit.com
223,Everest Kalapathar Trekking,$1390   USD,15 Days,Moderate-Hard,"5,545m",,,https://www.adventurehimalayacircuit.com
224,Everest Panorama Trek,$1040   USD,10 Days,Easy-Moderate,"3,860m",,,https://www.adventurehimalayacircuit.com
225,Everest Base Camp Trek via Gokyo Lake,$1530   USD,19 Days,Moderate-Hard,"5,545m",,,https://www.adventurehimalayacircuit.com
226,Gokyo Lake Trek,$1190   USD,13 Days,Moderate,"5,357m",,,https://www.adventurehimalayacircuit.com
227,Everest Base Camp Heli Trek,$3600   USD,9 Days,Moderate,"5,545m",,,https://www.adventurehimalayacircuit.com
228,Annapurna Circuit Trek,$1100   USD,19 Days,Moderate-Hard,"5,416m",,,https://www.adventurehimalayacircuit.com
229,Annapurna Base Camp Trek,$1090   USD,16 Days,Moderate,"4,130m",,,https://www.adventurehimalayacircuit.com
230,Ghorepani Poon Hill Trek,$450   USD,10 Days,Easy,"3,210m",,,https://www.adventurehimalayacircuit.com
231,Upper Mustang Trek,$2100   USD,17 Days,Moderate-Hard,4200m,,,https://www.adventurehimalayacircuit.com
232,Mardi Himal Trek,$590   USD,9 Days,Easy-Moderate,"4,500m",,,https://www.adventurehimalayacircuit.com
233,Langtang Valley Trekking,$690   USD,11 Days,Moderate,"4,773m",,,https://www.adventurehimalayacircuit.com
234,Manaslu Circuit Trek,$1190   USD,17 Days,Moderate-Hard,"5,220m",,,https://www.adventurehimalayacircuit.com
235,Annapurna Base Camp Trek,"
$1,090  USD", 14 Days,Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com
236,Annapurna Base Camp Short Trek,"
$1,090  USD", 11 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Dec,https://www.nepalhikingteam.com
237,Instant Annapurna Base Camp Trek,"
$980  USD", 9 Days,Moderate,4230 m,Hotel/Guest Houses,March - May & Sept - Dec.,https://www.nepalhikingteam.com
238,Annapurna Base Camp Heli Trek,"
$1,750  USD", 9 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Dec,https://www.nepalhikingteam.com
239,Mardi Himal Trek,"
$850  USD", 9 Days,Easy To Moderate,4200 m,Hotel/Guesthouses,March - May & Sept - Dec,https://www.nepalhikingteam.com
240,Mardi Himal Trekking,"
$850  USD", 8 Days,Easy To Moderate,"4,200 m",Hotel/Guesthouse,March-May & Sept-Dec.,https://www.nepalhikingteam.com
241,Classic Annapurna Circuit Trek,"
$1,350  USD", 18 Days,Moderate,5416 m,Hotel/Teahouses,March - May & Sept - Nov,https://www.nepalhikingteam.com
242,Annapurna Circuit Trek,"
$1,250  USD", 14 Days,Moderate,5416 m,Hotel/Teahouses,March-May & Sept-Dec,https://www.nepalhikingteam.com
243,Annapurna Circuit Short Trek,"
$1,250  USD", 12 Days,Strenuous,5416 m,Hotel/Guesthouse,March - May & Sept - Nov.,https://www.nepalhikingteam.com
244,Annapurna Luxury Trek,"
$1,450  USD", 9 Days,Easy To Moderate,2012m,Hotel/Luxury Lodges,March - May & Setpt - Dec,https://www.nepalhikingteam.com
245,Annapurna Panorama Trek,"
$860  USD", 9 Days,Easy,3210 m,Hotel/Teahouse,Jan - May & Sept - Dec,https://www.nepalhikingteam.com
246,Annapurna Tilicho Lake Trek,"
$1,450  USD", 17 Days,Strenuous,5416 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com
247,Short Annapurna Trek,"
$590  USD", 5 Days,Easy,1990 m,Hotel/Lodges,Jan- May & Sept - Dec,https://www.nepalhikingteam.com
248,Manaslu Circuit Trek,"
$1,450  USD", 15 Days,Strenuous,5106 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com
249,Manaslu Circuit Trekking,"
$1,380  USD", 14 Days,Moderate,5220 m,Hotel/Teahouses,March - May & Setpt - Nov,https://www.nepalhikingteam.com
250,Tsum Valley with Manaslu Trek,"
$1,850  USD", 20 Days,Strenuous,5220 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com
251,Upper Mustang Trek,"
$2,150  USD", 17 Days,Easy To Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Nov.,https://www.nepalhikingteam.com
252,Upper Mustang Trek with Yara,"
$2,300  USD", 18 Days,Easy To Moderate,4200 m,Hotel/Lodges,March - Nov,https://www.nepalhikingteam.com
253,Upper Mustang Tiji Festival Trek,"
$2,150  USD", 18 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Nov,https://www.nepalhikingteam.com
254,Langtang Valley Trek,"
$750  USD", 10 Days,Easy To Moderate,5050 m,Hotel/Teahouse,March-May & Sept-Dec,https://www.nepalhikingteam.com
255,Langtang Gosaikunda Trek,"
$1,180  USD", 16 Days,Easy To Moderate,4600m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com
256,Tamang Heritage Trek,"
$920  USD", 14 Days,Easy To Moderate,5050 m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com
257,Tamang Heritage Trail,"
$750  USD", 8 Days,Easy,2607 m,Teahouses/Lodges,Jan - May & Sept - Dec,https://www.nepalhikingteam.com
258,Helambu Trek,"
$780  USD", 9 Days,Easy,3650 m,Hotel/Guesthouse,Jan - May & Sept- Dec,https://www.nepalhikingteam.com
259,Annapurna Base Camp Trek  ," $1,499  USD", 11 Days,Moderate+Demanding,"4,130m",,,https://www.himalayanglacier.com
260,Everest Base Camp Trek for Youths  ," $1,750  USD", 14 Days,Demanding,"5,545m",,,https://www.himalayanglacier.com
261,Everest Base Camp Short Trek  ," $1,499  USD", 14 Days,Demanding,"5,545m",,,https://www.himalayanglacier.com
262,Everest Base Camp Trek  ," $1,499  USD", 16 Days,Moderate+Demanding,"5,545m",,,https://www.himalayanglacier.com
263,Annapurna Circuit Trek  ," $1,499  USD", 17 Days,Demanding,"5,416m",,,https://www.himalayanglacier.com
264,Everest Base Camp Luxury Lodge Trek  ," $1,499  USD", 15 Days,Demanding,"5,545m",,,https://www.himalayanglacier.com
265,Everest Base Camp Trek via Gokyo Lakes and Cho La Pass  ," $1,499  USD", 18 days,Demanding,"5,545m",,,https://www.himalayanglacier.com
266,Upper Mustang Trek  ," $1,499  USD", 17 Days,Moderate+Demanding,"3,870m",,,https://www.himalayanglacier.com
267,Everest Advanced Base Camp Trek from Tibet  ," $1,499  USD", 18 Days,Moderate+Demanding,"6,340m",,,https://www.himalayanglacier.com
268,Gokyo Lakes and Gokyo Ri Trek  ," $1,499  USD", 14 Days,Moderate+Demanding,"5,357m",,,https://www.himalayanglacier.com
269,Mardi Himal Trek  ," $1,499  USD", 10 Days,Moderate,"3,540m",,,https://www.himalayanglacier.com
270,Manaslu Circuit Trek  ," $1,499  USD", 18 Days,Demanding,"5,160m",,,https://www.himalayanglacier.com
271,Langtang Valley Trek  ," $1,499  USD", 11 Days,Moderate+Demanding,"5,000m",,,https://www.himalayanglacier.com
272,Annapurna Sanctuary Trek  ," $1,499  USD", 14 Days,Moderate+Demanding,"4,130m",,,https://www.himalayanglacier.com
273,Rara Lake Trek  ," $1,499  USD", 15 Days,Moderate,"3,055m",,,https://www.himalayanglacier.com
274,Everest High Passes Trek  ," $1,499  USD", 20 Days,Demanding,"5,546m",,,https://www.himalayanglacier.com
275,Kanchenjunga Circuit Trek  ," $1,499  USD", 25 Days,Demanding,"5,143m",,,https://www.himalayanglacier.com
276,Everest View Trek  ," $1,499  USD", 12 Days,Light+Moderate,"3,870m",,,https://www.himalayanglacier.com
277,Tsum Valley Trek  ," $1,499  USD", 19 Days,Demanding,"6,000m",,,https://www.himalayanglacier.com
278,The Royal Trek  ," $1,499  USD", 9 Days,Moderate,"1,730m",,,https://www.himalayanglacier.com
279,Makalu Base Camp Trek  ," $1,499  USD", 22 Days,Demanding+Challenging,"4,870m",,,https://www.himalayanglacier.com
280,"Langtang, Gosainkunda and Helambu Trek  "," $1,499  USD", 17 Days,Moderate,"5,000m",,,https://www.himalayanglacier.com
281,Nar Phu Valley Trek  ," $1,499  USD", 19 Days,Demanding,"5,416m",,,https://www.himalayanglacier.com
282,Annapurna Circle Trek  ," $1,499  USD", 14 Days,Demanding,"5,416m",,,https://www.himalayanglacier.com
283,Everest Kangshung Face Trek  ," $1,499  USD", 21 Days,Demanding+Challenging,"5,320m",,,https://www.himalayanglacier.com
284,Tsum Valley and Manaslu Trek  ," $1,499  USD", 27 Days,Demanding,"4,460m",,,https://www.himalayanglacier.com
285,Khopra Ridge Community Trek  ," $1,499  USD", 13 Days,Moderate+Demanding,"4,500m",,,https://www.himalayanglacier.com
286,Nepal Experience Tour  ," $1,499  USD", 12 Days,Light,"3,210m",,,https://www.himalayanglacier.com
287,Annapurna Circuit Trek with Tilicho Lake and Poon Hill  ," $1,499  USD", 20 Days,Demanding,"5,416m",,,https://www.himalayanglacier.com
288,Annapurna With Tilicho Lake Trek  ," $1,499  USD", 17 Days,Demanding,"5,416m",,,https://www.himalayanglacier.com
289,Langtang Valley Trek with Ganja la Pass  ," $1,499  USD", 14 Days,Demanding+Challenging,"5,122m",,,https://www.himalayanglacier.com
290,Tamang Heritage Trek  ," $1,499  USD", 14 Days,Moderate,"3,870m",,,https://www.himalayanglacier.com
291,Manaslu and Annapurna Trek with Tilicho Lake  ," $1,499  USD", 25 Days,Demanding,"5,416m",,,https://www.himalayanglacier.com
292,Nepal Trekking and Everest Himalaya Heli Tour  ," $1,499  USD", 7 Days,Moderate,"5,545m",,,https://www.himalayanglacier.com
293,Nepal Hiking and Culture Tour  ," $1,499  USD", 8 Days,Moderate,"1,550m",,,https://www.himalayanglacier.com
294,Annapurna Sunrise and Everest View Trek  ," $1,499  USD", 17 Days,Moderate,"3,870m",,,https://www.himalayanglacier.com
295,Tenzing Hillary Everest Marathon  ," $1,499  USD", 20 Days,Demanding+Challenging,"5,545m",,,https://www.himalayanglacier.com
296,Everest Base Camp Trek,$1450  USD,16 Days,Moderate-Hard,"5,545m",,,https://www.adventurehimalayacircuit.com
297,Everest Kalapathar Trekking,$1390  USD,15 Days,Moderate-Hard,"5,545m",,,https://www.adventurehimalayacircuit.com
298,Everest Panorama Trek,$1040  USD,10 Days,Easy-Moderate,"3,860m",,,https://www.adventurehimalayacircuit.com
299,Everest Base Camp Trek via Gokyo Lake,$1530  USD,19 Days,Moderate-Hard,"5,545m",,,https://www.adventurehimalayacircuit.com
300,Gokyo Lake Trek,$1190  USD,13 Days,Moderate,"5,357m",,,https://www.adventurehimalayacircuit.com
301,Everest Base Camp Heli Trek,$3600  USD,9 Days,Moderate,"5,545m",,,https://www.adventurehimalayacircuit.com
302,Annapurna Circuit Trek,$1100  USD,19 Days,Moderate-Hard,"5,416m",,,https://www.adventurehimalayacircuit.com
303,Annapurna Base Camp Trek,$1090  USD,16 Days,Moderate,"4,130m",,,https://www.adventurehimalayacircuit.com
304,Ghorepani Poon Hill Trek,$450  USD,10 Days,Easy,"3,210m",,,https://www.adventurehimalayacircuit.com
305,Upper Mustang Trek,$2100  USD,17 Days,Moderate-Hard,4200m,,,https://www.adventurehimalayacircuit.com
306,Mardi Himal Trek,$590  USD,9 Days,Easy-Moderate,"4,500m",,,https://www.adventurehimalayacircuit.com
307,Langtang Valley Trekking,$690  USD,11 Days,Moderate,"4,773m",,,https://www.adventurehimalayacircuit.com
308,Manaslu Circuit Trek,$1190  USD,17 Days,Moderate-Hard,"5,220m",,,https://www.adventurehimalayacircuit.com
309,Annapurna Base Camp Trek,"
$1,090 USD", 14 Days,Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com
310,Annapurna Base Camp Short Trek,"
$1,090 USD", 11 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Dec,https://www.nepalhikingteam.com
311,Instant Annapurna Base Camp Trek,"
$980 USD", 9 Days,Moderate,4230 m,Hotel/Guest Houses,March - May & Sept - Dec.,https://www.nepalhikingteam.com
312,Annapurna Base Camp Heli Trek,"
$1,750 USD", 9 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Dec,https://www.nepalhikingteam.com
313,Mardi Himal Trek,"
$850 USD", 9 Days,Easy To Moderate,4200 m,Hotel/Guesthouses,March - May & Sept - Dec,https://www.nepalhikingteam.com
314,Mardi Himal Trekking,"
$850 USD", 8 Days,Easy To Moderate,"4,200 m",Hotel/Guesthouse,March-May & Sept-Dec.,https://www.nepalhikingteam.com
315,Classic Annapurna Circuit Trek,"
$1,350 USD", 18 Days,Moderate,5416 m,Hotel/Teahouses,March - May & Sept - Nov,https://www.nepalhikingteam.com
316,Annapurna Circuit Trek,"
$1,250 USD", 14 Days,Moderate,5416 m,Hotel/Teahouses,March-May & Sept-Dec,https://www.nepalhikingteam.com
317,Annapurna Circuit Short Trek,"
$1,250 USD", 12 Days,Strenuous,5416 m,Hotel/Guesthouse,March - May & Sept - Nov.,https://www.nepalhikingteam.com
318,Annapurna Luxury Trek,"
$1,450 USD", 9 Days,Easy To Moderate,2012m,Hotel/Luxury Lodges,March - May & Setpt - Dec,https://www.nepalhikingteam.com
319,Annapurna Panorama Trek,"
$860 USD", 9 Days,Easy,3210 m,Hotel/Teahouse,Jan - May & Sept - Dec,https://www.nepalhikingteam.com
320,Annapurna Tilicho Lake Trek,"
$1,450 USD", 17 Days,Strenuous,5416 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com
321,Short Annapurna Trek,"
$590 USD", 5 Days,Easy,1990 m,Hotel/Lodges,Jan- May & Sept - Dec,https://www.nepalhikingteam.com
322,Manaslu Circuit Trek,"
$1,450 USD", 15 Days,Strenuous,5106 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com
323,Manaslu Circuit Trekking,"
$1,380 USD", 14 Days,Moderate,5220 m,Hotel/Teahouses,March - May & Setpt - Nov,https://www.nepalhikingteam.com
324,Tsum Valley with Manaslu Trek,"
$1,850 USD", 20 Days,Strenuous,5220 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com
325,Upper Mustang Trek,"
$2,150 USD", 17 Days,Easy To Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Nov.,https://www.nepalhikingteam.com
326,Upper Mustang Trek with Yara,"
$2,300 USD", 18 Days,Easy To Moderate,4200 m,Hotel/Lodges,March - Nov,https://www.nepalhikingteam.com
327,Upper Mustang Tiji Festival Trek,"
$2,150 USD", 18 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Nov,https://www.nepalhikingteam.com
328,Langtang Valley Trek,"
$750 USD", 10 Days,Easy To Moderate,5050 m,Hotel/Teahouse,March-May & Sept-Dec,https://www.nepalhikingteam.com
329,Langtang Gosaikunda Trek,"
$1,180 USD", 16 Days,Easy To Moderate,4600m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com
330,Tamang Heritage Trek,"
$920 USD", 14 Days,Easy To Moderate,5050 m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com
331,Tamang Heritage Trail,"
$750 USD", 8 Days,Easy,2607 m,Teahouses/Lodges,Jan - May & Sept - Dec,https://www.nepalhikingteam.com
332,Helambu Trek,"
$780 USD", 9 Days,Easy,3650 m,Hotel/Guesthouse,Jan - May & Sept- Dec,https://www.nepalhikingteam.com
333,Annapurna Base Camp Trek  ," $1,499 USD", 11 Days,Moderate+Demanding,"4,130m",,,https://www.himalayanglacier.com
334,Everest Base Camp Trek for Youths  ," $1,750 USD", 14 Days,Demanding,"5,545m",,,https://www.himalayanglacier.com
335,Everest Base Camp Short Trek  ," $1,499 USD", 14 Days,Demanding,"5,545m",,,https://www.himalayanglacier.com
336,Everest Base Camp Trek  ," $1,499 USD", 16 Days,Moderate+Demanding,"5,545m",,,https://www.himalayanglacier.com
337,Annapurna Circuit Trek  ," $1,499 USD", 17 Days,Demanding,"5,416m",,,https://www.himalayanglacier.com
338,Everest Base Camp Luxury Lodge Trek  ," $1,499 USD", 15 Days,Demanding,"5,545m",,,https://www.himalayanglacier.com
339,Everest Base Camp Trek via Gokyo Lakes and Cho La Pass  ," $1,499 USD", 18 days,Demanding,"5,545m",,,https://www.himalayanglacier.com
340,Upper Mustang Trek  ," $1,499 USD", 17 Days,Moderate+Demanding,"3,870m",,,https://www.himalayanglacier.com
341,Everest Advanced Base Camp Trek from Tibet  ," $1,499 USD", 18 Days,Moderate+Demanding,"6,340m",,,https://www.himalayanglacier.com
342,Gokyo Lakes and Gokyo Ri Trek  ," $1,499 USD", 14 Days,Moderate+Demanding,"5,357m",,,https://www.himalayanglacier.com
343,Mardi Himal Trek  ," $1,499 USD", 10 Days,Moderate,"3,540m",,,https://www.himalayanglacier.com
344,Manaslu Circuit Trek  ," $1,499 USD", 18 Days,Demanding,"5,160m",,,https://www.himalayanglacier.com
345,Langtang Valley Trek  ," $1,499 USD", 11 Days,Moderate+Demanding,"5,000m",,,https://www.himalayanglacier.com
346,Annapurna Sanctuary Trek  ," $1,499 USD", 14 Days,Moderate+Demanding,"4,130m",,,https://www.himalayanglacier.com
347,Rara Lake Trek  ," $1,499 USD", 15 Days,Moderate,"3,055m",,,https://www.himalayanglacier.com
348,Everest High Passes Trek  ," $1,499 USD", 20 Days,Demanding,"5,546m",,,https://www.himalayanglacier.com
349,Kanchenjunga Circuit Trek  ," $1,499 USD", 25 Days,Demanding,"5,143m",,,https://www.himalayanglacier.com
350,Everest View Trek  ," $1,499 USD", 12 Days,Light+Moderate,"3,870m",,,https://www.himalayanglacier.com
351,Tsum Valley Trek  ," $1,499 USD", 19 Days,Demanding,"6,000m",,,https://www.himalayanglacier.com
352,The Royal Trek  ," $1,499 USD", 9 Days,Moderate,"1,730m",,,https://www.himalayanglacier.com
353,Makalu Base Camp Trek  ," $1,499 USD", 22 Days,Demanding+Challenging,"4,870m",,,https://www.himalayanglacier.com
354,"Langtang, Gosainkunda and Helambu Trek  "," $1,499 USD", 17 Days,Moderate,"5,000m",,,https://www.himalayanglacier.com
355,Nar Phu Valley Trek  ," $1,499 USD", 19 Days,Demanding,"5,416m",,,https://www.himalayanglacier.com
356,Annapurna Circle Trek  ," $1,499 USD", 14 Days,Demanding,"5,416m",,,https://www.himalayanglacier.com
357,Everest Kangshung Face Trek  ," $1,499 USD", 21 Days,Demanding+Challenging,"5,320m",,,https://www.himalayanglacier.com
358,Tsum Valley and Manaslu Trek  ," $1,499 USD", 27 Days,Demanding,"4,460m",,,https://www.himalayanglacier.com
359,Khopra Ridge Community Trek  ," $1,499 USD", 13 Days,Moderate+Demanding,"4,500m",,,https://www.himalayanglacier.com
360,Nepal Experience Tour  ," $1,499 USD", 12 Days,Light,"3,210m",,,https://www.himalayanglacier.com
361,Annapurna Circuit Trek with Tilicho Lake and Poon Hill  ," $1,499 USD", 20 Days,Demanding,"5,416m",,,https://www.himalayanglacier.com
362,Annapurna With Tilicho Lake Trek  ," $1,499 USD", 17 Days,Demanding,"5,416m",,,https://www.himalayanglacier.com
363,Langtang Valley Trek with Ganja la Pass  ," $1,499 USD", 14 Days,Demanding+Challenging,"5,122m",,,https://www.himalayanglacier.com
364,Tamang Heritage Trek  ," $1,499 USD", 14 Days,Moderate,"3,870m",,,https://www.himalayanglacier.com
365,Manaslu and Annapurna Trek with Tilicho Lake  ," $1,499 USD", 25 Days,Demanding,"5,416m",,,https://www.himalayanglacier.com
366,Nepal Trekking and Everest Himalaya Heli Tour  ," $1,499 USD", 7 Days,Moderate,"5,545m",,,https://www.himalayanglacier.com
367,Nepal Hiking and Culture Tour  ," $1,499 USD", 8 Days,Moderate,"1,550m",,,https://www.himalayanglacier.com
368,Annapurna Sunrise and Everest View Trek  ," $1,499 USD", 17 Days,Moderate,"3,870m",,,https://www.himalayanglacier.com
369,Tenzing Hillary Everest Marathon  ," $1,499 USD", 20 Days,Demanding+Challenging,"5,545m",,,https://www.himalayanglacier.com
370,Everest Base Camp Trek,$1450 USD,16 Days,Moderate-Hard,"5,545m",,,https://www.adventurehimalayacircuit.com
371,Everest Kalapathar Trekking,$1390 USD,15 Days,Moderate-Hard,"5,545m",,,https://www.adventurehimalayacircuit.com
372,Everest Panorama Trek,$1040 USD,10 Days,Easy-Moderate,"3,860m",,,https://www.adventurehimalayacircuit.com
373,Everest Base Camp Trek via Gokyo Lake,$1530 USD,19 Days,Moderate-Hard,"5,545m",,,https://www.adventurehimalayacircuit.com
374,Gokyo Lake Trek,$1190 USD,13 Days,Moderate,"5,357m",,,https://www.adventurehimalayacircuit.com
375,Everest Base Camp Heli Trek,$3600 USD,9 Days,Moderate,"5,545m",,,https://www.adventurehimalayacircuit.com
376,Annapurna Circuit Trek,$1100 USD,19 Days,Moderate-Hard,"5,416m",,,https://www.adventurehimalayacircuit.com
377,Annapurna Base Camp Trek,$1090 USD,16 Days,Moderate,"4,130m",,,https://www.adventurehimalayacircuit.com
378,Ghorepani Poon Hill Trek,$450 USD,10 Days,Easy,"3,210m",,,https://www.adventurehimalayacircuit.com
379,Upper Mustang Trek,$2100 USD,17 Days,Moderate-Hard,4200m,,,https://www.adventurehimalayacircuit.com
380,Mardi Himal Trek,$590 USD,9 Days,Easy-Moderate,"4,500m",,,https://www.adventurehimalayacircuit.com
381,Langtang Valley Trekking,$690 USD,11 Days,Moderate,"4,773m",,,https://www.adventurehimalayacircuit.com
382,Manaslu Circuit Trek,$1190 USD,17 Days,Moderate-Hard,"5,220m",,,https://www.adventurehimalayacircuit.com
